samples,tissues,responses,basket_number,cluster_number,responsive
TGBC24TKB,Biliary Tract,0.12839221338189,0,4,0
EGI-1,Biliary Tract,0.0577193017282214,0,4,1
TGBC1TKB,Biliary Tract,0.0510358676524416,0,0,1
ETK-1,Biliary Tract,0.0962274073123258,0,4,0
SW1710,Bladder/Urinary Tract,0.071891126053978,1,2,0
SW780,Bladder/Urinary Tract,0.0322095370481603,1,0,1
LB831-BLC,Bladder/Urinary Tract,0.0091927530250769,1,2,1
VM-CUB-1,Bladder/Urinary Tract,0.0391537232636123,1,0,1
DSH1,Bladder/Urinary Tract,0.0676128774186015,1,0,0
HuO9,Bone,0.0167085460008972,2,1,1
EW-13,Bone,0.0648117478076204,2,6,0
EW-16,Bone,0.118206030551039,2,6,0
HuO-3N1,Bone,0.057874772605626,2,2,1
ES8,Bone,0.0816298550163075,2,6,0
EW-24,Bone,0.0039770424692694,2,6,1
EW-3,Bone,0.0179004700878322,2,6,1
ES1,Bone,0.0821987355896049,2,6,0
Rh1,Bone,0.164602790314206,2,6,0
CHSA8926,Bone,0.125851333516567,2,2,0
ES7,Bone,0.0459226900447545,2,6,1
EW-18,Bone,0.0290715233180989,2,6,1
HOS,Bone,0.0640453987890814,2,1,0
NOS-1 [Human osteosarcoma],Bone,0.0614490277665353,2,1,0
EW-22,Bone,0.0334673771211867,2,6,1
H-EMC-SS,Bone,0.0168334848716047,2,1,1
NY,Bone,0.0672715773185119,2,2,0
EW-7,Bone,0.0644143306424488,2,6,0
CAL-72,Bone,0.025858262894416,2,1,1
EW-1,Bone,0.0720947818928973,2,6,0
ES6,Bone,0.0094099194530055,2,6,1
CAL-78,Bone,0.0105503469679929,2,2,1
ES4,Bone,0.148133713958744,2,6,0
EW-11,Bone,0.0166032356760586,2,6,1
CS-1 [Human chondrosarcoma],Bone,0.0381462708121352,2,2,1
C2BBe1,Bowel,0.127898920888731,3,4,0
SNU-175,Bowel,0.196615219343515,3,7,0
HT-55,Bowel,0.137791622514903,3,4,0
HCT 116,Bowel,0.0129015220458851,3,7,1
SW626,Bowel,0.046228787222091,3,4,1
LS180,Bowel,0.0835746828009462,3,4,0
SW1463,Bowel,0.148997158031401,3,4,0
COLO 205,Bowel,0.0344152288339466,3,4,1
CaR-1,Bowel,0.0671094455741473,3,0,0
SNU-407,Bowel,0.084428497830345,3,4,0
SW1116,Bowel,0.104329627400967,3,4,0
DiFi,Bowel,0.329950854181966,3,4,0
CL-40,Bowel,0.0346331974850973,3,4,1
SW837,Bowel,0.0682815836939045,3,4,0
RKO,Bowel,0.0,3,1,1
GP5d,Bowel,0.12122190575726,3,4,0
HCC2998,Bowel,0.0757791095168724,3,4,0
SW48,Bowel,0.268328116685686,3,4,0
MDST8,Bowel,0.0918801120175044,3,2,0
COLO 320HSR,Bowel,0.0018039764489196,3,9,1
CCK-81,Bowel,0.249107056254474,3,4,0
HT-29,Bowel,0.049706488152891,3,4,1
SNU-C2B,Bowel,0.0523432296564404,3,4,1
SW620,Bowel,0.0216219464265912,3,4,1
HCT 15,Bowel,0.0612639035453632,3,4,0
SNU-C5,Bowel,0.117986023161339,3,4,0
SW948,Bowel,0.0246399619175591,3,4,1
SNU-C1,Bowel,0.0191697173359498,3,4,1
UACC-812,Breast,0.0,4,7,1
OCUB-M,Breast,0.082785767395351,4,7,0
Evsa-T,Breast,0.0849955346890464,4,7,0
MDA-MB-361,Breast,0.104883135451205,4,7,0
MFM-223,Breast,0.0643079792256542,4,7,0
MRK-nu-1,Breast,0.0143790050022087,4,7,1
COLO 824,Breast,0.140789145236246,4,7,0
HCC1187,Breast,0.0269968794253393,4,7,1
HCC1806,Breast,0.173135587844158,4,0,0
ZR-75-30,Breast,0.0590437922944436,4,7,1
SiSo,Cervix,0.0966894274485269,5,4,0
DoTc2 4510,Cervix,0.149679209935105,5,0,0
ME-180,Cervix,0.161125922555766,5,0,0
Ca Ski,Cervix,0.171508172085414,5,0,0
TC-YIK,Cervix,0.104010315132573,5,9,0
HT-3,Cervix,0.0872812627694755,5,0,0
HeLa,Cervix,0.0024432496160568,5,2,1
SW756,Cervix,0.119997255101409,5,7,0
C-4-I,Cervix,0.160022061890954,5,0,0
SKG-IIIa,Cervix,0.0655967582819898,5,0,0
SiHa,Cervix,0.100299035011736,5,7,0
C-33 A,Cervix,0.0934427645635586,5,1,0
MS751,Cervix,0.122092301806907,5,0,0
Becker,CNS/Brain,0.0559695671309726,6,2,1
PFSK-1,CNS/Brain,0.0398641673547789,6,1,1
SK-MG-1,CNS/Brain,0.070433864693999,6,2,0
SK-PN-DW,CNS/Brain,0.0346463890630108,6,6,1
D-392MG,CNS/Brain,0.057823574535457,6,2,1
MOG-G-UVW,CNS/Brain,0.0546140902881339,6,2,1
KINGS-1,CNS/Brain,0.0277240325108469,6,1,1
D-263MG,CNS/Brain,0.0430792520514913,6,2,1
U-251MG,CNS/Brain,0.112490998886677,6,2,0
MOG-G-CCM,CNS/Brain,0.0469043609581894,6,2,1
YH-13,CNS/Brain,0.108330519226621,6,2,0
M059J,CNS/Brain,0.101546819945072,6,2,0
SW1088,CNS/Brain,0.110024121337932,6,2,0
LN-405,CNS/Brain,0.0372783305977369,6,2,1
FLO-1,Esophagus/Stomach,0.0378121979564782,7,1,1
KYAE-1,Esophagus/Stomach,0.0755015484651206,7,4,0
MKN28,Esophagus/Stomach,0.0592391727682757,7,4,1
SK-GT-2,Esophagus/Stomach,0.217441252798054,7,0,0
KYSE-50,Esophagus/Stomach,0.10340162463889,7,0,0
OACM5.1 C,Esophagus/Stomach,0.00777569371472,7,7,1
TGBC11TKB,Esophagus/Stomach,0.0695028945912259,7,4,0
ESO-51,Esophagus/Stomach,0.0124127333268565,7,4,1
TE-8,Esophagus/Stomach,0.130460736949492,7,0,0
OACP4 C,Esophagus/Stomach,0.136186579722132,7,4,0
SNU-16,Esophagus/Stomach,0.0334888043109756,7,4,1
ESO-26,Esophagus/Stomach,0.113686876789855,7,4,0
TE-6,Esophagus/Stomach,0.24535955249507,7,0,0
SK-GT-4,Esophagus/Stomach,0.143205310701171,7,0,0
HSC-39,Esophagus/Stomach,0.053706926921313,7,4,1
KYSE-220,Esophagus/Stomach,0.188346243719894,7,0,0
SNU-1,Esophagus/Stomach,0.145823211487494,7,1,0
TE-4,Esophagus/Stomach,0.0161135386632425,7,4,1
GCIY,Esophagus/Stomach,0.104588580231879,7,4,0
SKN-3,Head and Neck,0.110808933748932,8,0,0
BB49-HNC,Head and Neck,0.0649032011794549,8,2,0
BICR 78,Head and Neck,0.123752385775983,8,0,0
JHU-022,Head and Neck,0.214987249513701,8,0,0
UPCI-SCC-090,Head and Neck,0.193739440919384,8,0,0
BICR 10,Head and Neck,0.130364891212606,8,2,0
DOK,Head and Neck,0.352487709036072,8,0,0
SAT [Human HNSCC],Head and Neck,0.114990441963396,8,0,0
NCI-H3118,Head and Neck,0.226680918545458,8,0,0
OSC-20,Head and Neck,0.0982350962791393,8,0,0
Ca9-22,Head and Neck,0.204540945326937,8,0,0
SAS,Head and Neck,0.135960299193435,8,0,0
LB771-HNC,Head and Neck,0.093266772649973,8,1,0
HO-1-u-1,Head and Neck,0.194857016446691,8,0,0
